,All,ID,Testing Type,Year,Test No,Asker,Section,Customer,Engine,Emission,SAP No,PEP Phase,Ratio,Cylinder,Duty,System Pressure,Injector  Type,Flow Rate,Needle Lift,Injector PN,Nozzle PN,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",Rail_PN,SN,Pump Type,Pump PN,SN2,HPP P2R,HPP R2I,ECU Type,TB Dataset,Tester,TB,EMI,Start Date,Finish Date,Actual Effort,Mounting,Testing,Idle,Downtime,Description,Remarks,Pressure sensor,Flowmeter,HDA ,EVI,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249
337,,338.0,ET-MAP,2010,2010/082,Zhang Helen,COS,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,810,0.25,O 445 B29 407,B 433 207 289,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-11-09 00:00:00,2010-11-15 00:00:00,36,8,28,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,339.0,ET-MAP,2010,2010/082,Zhang Helen,COS,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,955,0.25,O 445 B29 411,B 433 207 293,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-11-09 00:00:00,2010-11-15 00:00:00,36,8,28,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,340.0,ET-MAP,2010,2010/083,Miao changqing,SDF2,DFL ,X7,CN5/EU5/EU5,30-103475,WORK,2/3,6,MD,1800.0,CRIN3-18,700,0.3,0 445 B29 284-00,A 433 206 934-00,HFR,21.6,1.2,1.2,,B 445 226 797,41538,CP3.3N-16/3,B 445 080 334,,558.5x8.0x3.5,361.5x8.0x3.5,EDC17CV44_5.03,,Li yongchun,H1902,EMI2-1813,2010-11-15 00:00:00,2010-11-21 00:00:00,60.5,12,48.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,341.0,ET-MAP,2015,2015/059,Ji Jun,COS,JAC ,2.8,CN4/EU4,30-107523-03-03,WORK, 0.5,4,PC,1600.0,CRI1-16,400,0.85,B445112757_00,B433210743,HFR,17.4,no,no,,,,CB18-16/2(lift:9mm),,,239.5x6.35x3.0,282.4x6.35x3.0,EDC17C63-2.10,P1257_V26T,Ding Wei,H1904,,2015-03-30 00:00:00,2015-04-03 00:00:00,35,8,15,12,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,342.0,Rail pressure calibration,2009,2009/077,Lin Chao,ESD4,Yunnei,4D19,CN4/EU4,30-101509,,2/3,4,PC,1600.0,CRI2-16,350,0.85,B445 118 962_05,B433 205 684,LWR,14,0.85,0.85,,B445 514 096,,CP1H-16/3,0445 010 186,,356x6.35x3.0,209.5x6.35x3.0,EDC17C08,,Yang Yue,H1904,,2009.10.22,2009.10.26,28.5,3.5,25,0,0,Preparation for first firing,"B-sample; including PID, leakage and precontrol map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,343.0,RPG calibration,2012,2012/012,Guo Jian,ESD3,DCD ,4D47,CN4/EU4,30-103699,WORK, 1,4,MD,1600.0,CRI2-16,450cm^3/30s@100bar,0.0,B 445 110 291,450cm^3,HFR,15,no,0.85,,B 445 224 225,029714,CP1H-16/3,0 445 010 198,00056,357.9x6.35x3.0,321.8x6.35x3.0,EDC17CV44_5.04,P722V731,Qiang Min,H1906,EMI2-1798,2012-02-23 00:00:00,2012-02-29 00:00:00,35,9,26,0,0,preparation for vehicle calibration or application,,, - ,,EVI-84019928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,344.0,ET-MAP,2007,2007/043,Yang Ruilong,ESD5,DCD,4D47,EU3,30-101400,,1/1,4,MD,1450.0,CRI2-16,540,0.85,B445 118 099_01,B433 201 900,LWR,14,-,0.85,,0445 224 038,000038,CP1H-16/3,B445 010 898_04,105200638,357x6.35x3.0,328x6.35x3.0,EDC16C39,,Xu Xin/Wei Qiang,H1902,,2007.08.06,2007.08.09,16,0,13,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,345.0,ET-MAP,2010,2010/044,Zhang Helen,COS,DCD ,4D47-EGR,CN4/EU4,30-103699,RESV,1/1,4,MD,1600.0,CRI2-16,450,0.85,0 445 110 333,B 433 206 84400,HFR,15,no,0.85,,B 445 514 009,029505,CP1H-16/3,0 445 010 159,00001,357x6.35x3.0,328x6.35x3.0,EDC17CV44-5.04,P722V700-EGR,Chen Ying,H1903,,2010-06-30 00:00:00,2010-07-14 00:00:00,87.5,8.5,74,0,5,B-sample; nozzle definition/first firing,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,346.0,ET-MAP,2010,2010/044,Zhang Helen,COS,DCD ,4D47-EGR,CN4/EU4,30-103699,RESV,1/1,4,MD,1600.0,CRI2-16,525,0.85,0 445 110 333,B 433 206 85200,HFR,15,no,0.85,,B 445 514 009,029505,CP1H-16/3,0 445 010 159,00001,357x6.35x3.0,328x6.35x3.0,EDC17CV44-5.04,P722V700-EGR,Chen Ying,H1903,,2010-06-30 00:00:00,2010-07-14 00:00:00,87.5,8.5,74,0,5,B-sample; nozzle definition/first firing,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,347.0,ET-MAP,2010,2010/044,Zhang Helen,COS,DCD ,4D47-EGR,CN4/EU4,30-103699,RESV,1/1,4,MD,1600.0,CRI2-16,485,0.85,0 445 110 333,B 433 206 84800,HFR,15,no,0.85,,B 445 514 009,029505,CP1H-16/3,0 445 010 159,00001,357x6.35x3.0,328x6.35x3.0,EDC17CV44-5.04,P722V700-EGR,Chen Ying,H1903,,2010-06-30 00:00:00,2010-07-14 00:00:00,87.5,8.5,74,0,5,B-sample; nozzle definition/first firing,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,348.0,ET-MAP,2010,2010/085,Xiong wanghui,SDF2,DFL ,dci11-st,EU3,30-104914,RESV,1/1,6,HD,1600.0,CRIN2-16,900,0.3,0 445 B29 383,B433 207 274,LWR,25.3,1.1,1.1,,0 445 226 062,000004,CPN2-16/2+,0 445 020 098,889A525401,610x8.0x4.0,570x8.0x3.0,EDC7UC31,P525V40,Chen Ying,H1901,EMI2-1817,2010-11-15 00:00:00,2010-11-19 00:00:00,46.5,9,21.5,0,0,C-sample; engine/vehicle calibration,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,349.0,ET-MAP,2010,2010/086,Zhang Helen,COS,Yuchai ,6MK,CN4/EU4,30-103426,PREP,1/2,6,HD,1600.0,CRIN2-16-BL,900,0.3,0 445 B29 106-00,B 433 203 645-00,HFR,26.5,1.1,1.1,,,,CPN2-18/2-BL,,,480x8.0x3.6,440x8.0x3.6,EDC17CV44_5.03,,Chen Ying/Li yongchun,H1902,EMI2-1813,2010-11-22 00:00:00,2010-11-24 00:00:00,23,6.5,16.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,350.0,Pump investigation,2010,2010/087,Dong mingzhe,ESD4,Naveco ,8140,EU3,30-103309,WORK,1/1,4,LD,1600.0,,,,,,HFR,17.36,no,no,,0445 214 209,000215,CB18,0445 225 016,,,,EDC17C04,P723V41,Yang Yue,H1906,,2010-11-17 00:00:00,2010-12-03 00:00:00,88,5.5,76.5,6,0,troubleshooting for CB18 start ability,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,351.0,Rail pressure investigation,2010,2010/088,Zhou Yu,ESD4,SAIC ,1.9l,CN5/EU5/EU5,30-103656,WORK,2/3,4,PC,1800.0,CRI2-18,,0.85,B 119 846 _09,,HFR,12.8,0.9,0.9,,B 445 514 357,,CP1H-18/3,0 445 010 225,105196215,378.5x6.35x3,171.6x6.35x3,EDC17C53-1.70,,Zhou Bin,H1902,,2010-11-24 00:00:00,2010-12-07 00:00:00,76.5,5.5,61,10,0,troubleshooting for abnormal  rail pressure behavior,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,352.0,ET-MAP,2010,2010/090,Xiong wanghui,SDF2,DFL ,dci11-st,EU3,30-104914,RESV,1/2,6,HD,1600.0,CRIN2-16,900,0.3,0 445 B29 383,B433 207 274,LWR,25.3,1.1,1.1,,,,CPN2-16/2+,0 445 020 098,889A525401,610x8.0x4.0,570x8.0x3.0,EDC7UC31,P525V40,Bian xiaoting/Chen Ying,H1903,EMI2-1803,2010-11-29 00:00:00,2010-12-08 00:00:00,55,18.5,36.5,0,0,C-sample; engine/vehicle calibration,root cause track for abnormal Q-MAP behavior,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,353.0,ET-MAP,2010,2010/044,Zhang Helen,COS,DCD ,4D47-EGR,CN4/EU4,30-103699,RESV,1/1,4,MD,1600.0,CRI2-16,450,0.85,0 445 110 333,B 433 206 84400,HFR,15,no,0.85,,B 445 514 009,029505,CP1H-16/3,0 445 010 159,00001,357x6.35x3.0,328x6.35x3.0,EDC17CV44-5.04,P722V700-EGR,Chen Ying,H1903,,2010-06-30 00:00:00,2010-07-14 00:00:00,87.5,8.5,74,0,5,B-sample; nozzle definition/first firing,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,354.0,ET-MAP,2010,2010/092,Zhang dianzuo,SFW1,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,690,0.25,O 445 B29 397,B433 207 301,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-12-08 00:00:00,2010-12-13 00:00:00,35.5,9,26.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,355.0,ET-MAP,2010,2010/092,Zhang dianzuo,SFW1,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,1030,0.25,O 445 B29 406,B433 207 288,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-12-08 00:00:00,2010-12-13 00:00:00,35.5,9,26.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,356.0,ET-MAP,2010,2010/092,Zhang dianzuo,SFW1,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,750,0.25,O 445 B29 396,B433 207 300,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-12-08 00:00:00,2010-12-13 00:00:00,35.5,9,26.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,357.0,ET-MAP,2010,2010/092,Zhang dianzuo,SFW1,FAWDE ,CA6DM2,CN4/EU4,30-101642,WORK,1/2,6,HD,1600.0,CRIN2-16,800,0.25,O 445 B29 410,B433 207 292,HFR,44,1.1,1.1,,0 445 226 053,000293,CPN2-16/2+,0 445 020 098,889A525641,313.5x8x4,292x8x4,EDC17CV44_5.03,P722V730,Bian xiaoting,H1903,EMI2-1803,2010-12-08 00:00:00,2010-12-13 00:00:00,35.5,9,26.5,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,358.0,ET-MAP,2010,2010/093,Zhang Helen,COS,DCD ,6D78,EU3,30-101356,WORK,4/3,6,MD,1500.0,CRIN2-16,500,0.25,0445 B29 439,B433 207 446-00,LWR,27,no,1.1,,O 445 226 064,000540,CP3.3N-16/3,0 445 020 065,01351,558x8x4,372x8x4,EDC7UC31_13.40,P525V40,Yang Yue,H1903,EMI2-1803,2010-12-14 00:00:00,2010-12-16 00:00:00,23,13,10,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,359.0,QWC,2010,2010/094,Zhou Yu,ESD4,SAIC ,1.9l,CN5/EU5/EU5,30-103656,WORK,2/3,4,PC,1800.0,CRI2-18,380,0.85,B 119 846_09,206 328 120,HFR,12.8,0.9,0.9,,0445 226 053,00 238,CP1H-18/3,0 445 010 225,00067,378.5x6.35x3,171.6x6.35x3,EDC17C53-1.10,P924V50,Chen Ying,H1902,,2010-12-13 00:00:00,2010-12-21 00:00:00,48,4,44,0,0,trial running for QWC online verification,,, - ,HDA-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,360.0,Rail pressure investigation,2010,2010/095,Li zhonghai,ESD5,Weichai ,WP7-SCR,CN4/EU4,30-101533,WORK,3/2,6,MD,1600.0,CRIN2-16,,,0 445 120 110,,LWR,26,no,1.1,,B 445 226 507,023116,CP3.3N-16/3,0 445 020 065,00041,318x8.0x4.0,410x8.0x4.0,EDC17CV44_5.03,P722V730,Bian xiaoting,H1906,EMI2-2114,2010-12-13 00:00:00,2010-12-17 00:00:00,38,11,27,0,0,know-how buildup for new strategy and function,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,361.0,ET-MAP,2010,2010/096,Lu Jun,SFW2,FAWDE ,6DLD,CN4/EU4,30-101613,WORK,4/3,6,MD,1800.0,CRIN3-18,600,0.25,0445 B29 442,B433 207 229-00,HFR,27,1.2,1.2,,B445 226 696,041845,CP3.3N-18/3,0445 020 045,03046,776.4x8x4,312.5x8x4,EDC17CV-5.04,P731 ENHANCED_D6,Yang Yue,H1903,EMI2-1803,2010-12-16 00:00:00,2010-12-21 00:00:00,27,9,18,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,362.0,ET-MAP,2010,2010/096,Lu Jun,SFW2,FAWDE ,6DLD,CN4/EU4,30-101613,WORK,4/3,6,MD,1800.0,CRIN3-18,550,0.25,0455 B29 379,B433 206 200-00,HFR,27,1.2,1.2,,B445 226 696,041845,CP3.3N-18/3,0445 020 045,03046,776.4x8x4,312.5x8x4,EDC17CV-5.04,P731 ENHANCED_D6,Yang Yue,H1903,EMI2-1803,2010-12-16 00:00:00,2010-12-21 00:00:00,27,9,18,0,0,B-sample; nozzle definition/first firing,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
